"team", "01 Organisation 1501", "team1501", "1.1 Organisation", false
"team", "01 Organigramm und Verantwortlichkeiten 1501", "team1501","1.1.1 Organigramm", false
"team", "02 Rollen 1501", "team1501","1.1.1 Organigramm", false
"team", "03 Richtlinien 1501", "team1501","1.1.3 Richtlinien", true
"team", "04 Arbeitsprozesse 1501", "team1501","1.1.4 Arbeitsprozesse", true
"team", "01 organisatorisch 1501", "team1501","1.2.1 Organisatorisch", false
"team", "02 fachlich 1501", "team1501","1.2.2 Fachlich", false,
"team", "02 Einarbeitung 1501", "team1501","1.2 Einarbeitung", false
"team", "01 Team 1501", "team1501","1 Team", false,
"team", "1501 - Quality Management", "team1501","Home", false
"team", "03 Mitarbeiter 1501", "team1501","1.3 Mitarbeiter", true
"team", "02 Produkte 1501", "team1501","2 Leistungen", true
"team", "03 Projekte 1501","team1501","3 Projekte", true
"team", "04 Fachwissen 1501", "team1501","4 Fachwissen", true
"team", "05 Archiv 1501", "team1501", "5 Archiv", true
"qm", "Handbuch - Ansprechpartner", "team1501", "Handbuch - Ansprechpartner", false
