4127936	4	5	null	Fri Apr 10 14:12:00 PDT 1998	27	JTable Horizontal Scrollbar doesn't work	committed
4833667	4	4	joutwate	Mon Mar 17 15:32:00 PST 2003	0	Deiconizing a JInternalFrame with double-click moves focus	evaluated
4419748	4	3	sdv@sparc.spb.su	Tue Feb 27 17:47:00 PST 2001	5	JEditorPane CSS not supporting borders properly	evaluated
4851246	4	4	joutwate	Sun Apr 20 23:25:00 PDT 2003	0	RFE: Potential speed improvement in JProgressBar	evaluated
4765280	4	5	shannonh	Fri Oct 18 11:55:00 PDT 2002	0	RFE: Cannot drag out of a JFileChooser without first selecting a file	accepted
4501166	4	4	kyuka	Sun Sep 09 21:48:00 PDT 2001	1	Win32: JFileChooser doesn't display drives/volumes correctly in RtoL	accepted
4845362	4	5	zpm@sparc.spb.su	Tue Apr 08 18:44:00 PDT 2003	0	HTML renderer fails on empty cellpadding value and chars before title tag	evaluated
4846388	3	3	bchristi	Thu Apr 10 11:09:00 PDT 2003	1	XP JFileChooser shows gray smudge for "create folder" icon	committed
4230443	4	5	kyuka	Fri Apr 16 13:17:00 PDT 1999	1	ComponentOrientation has no effect on editable JComboBox	accepted
4660820	4	3	dalem	Mon Apr 01 00:24:00 PST 2002	0	JList does not show visual focus with initial Tab	accepted
4263904	4	5	idk	Thu Aug 19 10:41:00 PDT 1999	181	JTextPane:  Paragraphs with Justified Attributes Appear Centered	evaluated
4865510	4	4	leif	Fri May 16 00:29:00 PDT 2003	0	Win L&F: JFileChooser:  keyboard navigation is different	evaluated
4826791	4	5	leif	Mon Mar 03 21:22:00 PST 2003	0	Large font sizes not used in filedialog	committed
4673852	4	3	naa@sparc.spb.su	Wed Apr 24 11:31:00 PDT 2002	1	Entering HTML hard-break in JEditorPane does not update cursor correctly	accepted
4850101	4	4	shannonh	Thu Apr 17 10:49:00 PDT 2003	0	Setting mnemonic to VK_F4 underlines the letter S in a button.	accepted
4776306	3	2	davidson@eng	Fri Nov 08 00:52:00 PST 2002	0	property change-notification should lazily construct copies of properties	committed
4406437	4	5	shannonh	Fri Jan 19 15:17:00 PST 2001	0	JEditorPane.getEditorKit() should call kit.install()	evaluated
4838135	4	4	davidson@eng	Wed Mar 26 14:06:00 PST 2003	0	Request javax.swing.Action.MNEMONIC_INDEX_KEY	committed
4837565	4	3	shannonh	Tue Mar 25 17:15:00 PST 2003	0	Selection error by an empty JTable	accepted
